index,genre
444.wav,metal
237.wav,rock
226.wav,blues
462.wav,pop
427.wav,pop
30.wav,jazz
297.wav,reggae
156.wav,pop
400.wav,jazz
480.wav,blues
366.wav,classical
87.wav,rock
445.wav,pop
219.wav,country
347.wav,blues
472.wav,blues
413.wav,jazz
76.wav,classical
461.wav,metal
478.wav,metal
363.wav,metal
15.wav,hiphop
262.wav,pop
39.wav,metal
389.wav,pop
282.wav,rock
273.wav,rock
196.wav,blues
247.wav,pop
46.wav,pop
250.wav,classical
354.wav,rock
101.wav,country
340.wav,metal
209.wav,country
228.wav,classical
43.wav,blues
327.wav,reggae
441.wav,hiphop
359.wav,blues
392.wav,country
493.wav,blues
436.wav,classical
129.wav,country
468.wav,hiphop
111.wav,blues
224.wav,rock
371.wav,blues
362.wav,classical
198.wav,blues
263.wav,metal
132.wav,classical
13.wav,hiphop
296.wav,rock
356.wav,rock
429.wav,rock
376.wav,blues
318.wav,hiphop
346.wav,jazz
153.wav,reggae
274.wav,classical
103.wav,disco
75.wav,pop
114.wav,classical
295.wav,blues
275.wav,pop
220.wav,hiphop
265.wav,jazz
29.wav,blues
109.wav,disco
106.wav,pop
33.wav,blues
18.wav,hiphop
435.wav,pop
253.wav,blues
122.wav,rock
249.wav,blues
94.wav,country
51.wav,blues
174.wav,disco
163.wav,pop
364.wav,pop
486.wav,jazz
208.wav,jazz
418.wav,metal
369.wav,country
50.wav,pop
268.wav,jazz
333.wav,pop
475.wav,metal
267.wav,metal
61.wav,classical
79.wav,classical
151.wav,disco
498.wav,reggae
374.wav,classical
4.wav,hiphop
193.wav,classical
290.wav,pop
2.wav,metal
105.wav,blues
69.wav,reggae
256.wav,hiphop
124.wav,classical
471.wav,jazz
127.wav,reggae
131.wav,blues
121.wav,blues
440.wav,metal
442.wav,classical
35.wav,metal
438.wav,pop
287.wav,rock
102.wav,pop
403.wav,classical
492.wav,pop
80.wav,blues
317.wav,reggae
28.wav,blues
233.wav,pop
394.wav,classical
259.wav,metal
62.wav,country
171.wav,blues
302.wav,rock
370.wav,pop
26.wav,jazz
115.wav,classical
272.wav,reggae
138.wav,pop
136.wav,blues
254.wav,classical
257.wav,pop
205.wav,blues
98.wav,jazz
167.wav,pop
116.wav,blues
212.wav,rock
390.wav,disco
417.wav,reggae
385.wav,metal
125.wav,hiphop
45.wav,metal
488.wav,classical
181.wav,blues
194.wav,pop
107.wav,hiphop
459.wav,blues
321.wav,classical
148.wav,classical
11.wav,classical
341.wav,reggae
3.wav,metal
77.wav,metal
9.wav,classical
432.wav,blues
378.wav,metal
244.wav,metal
315.wav,classical
66.wav,classical
96.wav,metal
20.wav,classical
170.wav,pop
235.wav,pop
402.wav,jazz
465.wav,classical
72.wav,classical
168.wav,country
258.wav,pop
143.wav,metal
63.wav,pop
299.wav,classical
