index,genre
444.wav,reggae
237.wav,blues
226.wav,disco
462.wav,pop
427.wav,rock
30.wav,pop
297.wav,country
156.wav,blues
400.wav,classical
480.wav,disco
366.wav,country
87.wav,hiphop
445.wav,reggae
219.wav,jazz
347.wav,rock
472.wav,rock
413.wav,pop
76.wav,pop
461.wav,disco
478.wav,jazz
363.wav,hiphop
15.wav,country
262.wav,classical
39.wav,reggae
389.wav,rock
282.wav,disco
273.wav,country
196.wav,rock
247.wav,metal
46.wav,classical
250.wav,reggae
354.wav,blues
101.wav,metal
340.wav,blues
209.wav,metal
228.wav,jazz
43.wav,classical
327.wav,reggae
441.wav,hiphop
359.wav,metal
392.wav,hiphop
493.wav,reggae
436.wav,metal
129.wav,country
468.wav,reggae
111.wav,classical
224.wav,rock
371.wav,blues
362.wav,blues
198.wav,jazz
263.wav,blues
132.wav,rock
13.wav,country
296.wav,country
356.wav,classical
429.wav,reggae
376.wav,classical
318.wav,disco
346.wav,blues
153.wav,blues
274.wav,metal
103.wav,metal
75.wav,country
114.wav,blues
295.wav,country
275.wav,hiphop
220.wav,jazz
265.wav,hiphop
29.wav,metal
109.wav,hiphop
106.wav,hiphop
33.wav,hiphop
18.wav,hiphop
435.wav,country
253.wav,reggae
122.wav,jazz
249.wav,jazz
94.wav,country
51.wav,blues
174.wav,pop
163.wav,rock
364.wav,blues
486.wav,rock
208.wav,hiphop
418.wav,reggae
369.wav,hiphop
50.wav,disco
268.wav,metal
333.wav,reggae
475.wav,blues
267.wav,disco
61.wav,reggae
79.wav,disco
151.wav,rock
498.wav,jazz
374.wav,metal
4.wav,rock
193.wav,disco
290.wav,disco
2.wav,hiphop
105.wav,country
69.wav,metal
256.wav,country
124.wav,reggae
471.wav,hiphop
127.wav,country
131.wav,reggae
121.wav,metal
440.wav,reggae
442.wav,metal
35.wav,metal
438.wav,hiphop
287.wav,jazz
102.wav,rock
403.wav,blues
492.wav,classical
80.wav,rock
317.wav,country
28.wav,metal
233.wav,reggae
394.wav,hiphop
259.wav,metal
62.wav,blues
171.wav,rock
302.wav,reggae
370.wav,rock
26.wav,hiphop
115.wav,blues
272.wav,jazz
138.wav,disco
136.wav,reggae
254.wav,reggae
257.wav,metal
205.wav,metal
98.wav,disco
167.wav,classical
116.wav,rock
212.wav,disco
390.wav,hiphop
417.wav,hiphop
385.wav,blues
125.wav,metal
45.wav,classical
488.wav,rock
181.wav,rock
194.wav,blues
107.wav,jazz
459.wav,rock
321.wav,country
148.wav,blues
11.wav,metal
341.wav,classical
3.wav,blues
77.wav,country
9.wav,metal
432.wav,classical
378.wav,metal
244.wav,rock
315.wav,hiphop
66.wav,blues
96.wav,hiphop
20.wav,reggae
170.wav,classical
235.wav,hiphop
402.wav,classical
465.wav,hiphop
72.wav,disco
168.wav,rock
258.wav,reggae
143.wav,blues
63.wav,pop
299.wav,pop
5.wav,country
269.wav,jazz
433.wav,reggae
410.wav,blues
56.wav,blues
91.wav,disco
450.wav,hiphop
349.wav,rock
474.wav,country
70.wav,reggae
54.wav,jazz
104.wav,country
280.wav,classical
446.wav,classical
135.wav,hiphop
355.wav,classical
261.wav,classical
449.wav,blues
74.wav,rock
283.wav,rock
337.wav,hiphop
64.wav,disco
242.wav,metal
377.wav,reggae
93.wav,classical
23.wav,pop
451.wav,jazz
202.wav,reggae
489.wav,reggae
289.wav,country
128.wav,country
372.wav,blues
365.wav,rock
415.wav,disco
305.wav,disco
189.wav,jazz
434.wav,jazz
25.wav,reggae
416.wav,hiphop
388.wav,jazz
169.wav,country
398.wav,country
149.wav,disco
206.wav,pop
183.wav,metal
383.wav,reggae
213.wav,classical
36.wav,rock
467.wav,country
352.wav,country
303.wav,country
38.wav,country
222.wav,country
353.wav,reggae
204.wav,rock
414.wav,blues
496.wav,pop
82.wav,metal
406.wav,reggae
266.wav,disco
426.wav,hiphop
457.wav,hiphop
476.wav,rock
176.wav,disco
92.wav,jazz
166.wav,reggae
322.wav,classical
276.wav,hiphop
300.wav,jazz
41.wav,hiphop
155.wav,reggae
499.wav,disco
34.wav,reggae
487.wav,reggae
404.wav,jazz
146.wav,classical
343.wav,reggae
203.wav,metal
245.wav,classical
195.wav,blues
210.wav,pop
55.wav,pop
229.wav,pop
207.wav,disco
8.wav,pop
412.wav,disco
314.wav,country
431.wav,hiphop
57.wav,reggae
199.wav,hiphop
393.wav,classical
188.wav,classical
460.wav,blues
361.wav,disco
490.wav,metal
495.wav,pop
0.wav,metal
184.wav,jazz
308.wav,metal
232.wav,disco
133.wav,metal
497.wav,disco
350.wav,pop
421.wav,reggae
379.wav,hiphop
397.wav,hiphop
311.wav,jazz
47.wav,blues
332.wav,rock
14.wav,rock
81.wav,blues
482.wav,rock
68.wav,disco
251.wav,blues
21.wav,country
217.wav,classical
197.wav,hiphop
323.wav,metal
407.wav,disco
234.wav,country
10.wav,blues
285.wav,country
58.wav,disco
481.wav,metal
241.wav,classical
334.wav,disco
243.wav,reggae
27.wav,disco
395.wav,reggae
405.wav,pop
331.wav,country
325.wav,hiphop
142.wav,classical
313.wav,reggae
44.wav,blues
12.wav,metal
144.wav,blues
22.wav,pop
190.wav,hiphop
139.wav,jazz
1.wav,pop
288.wav,jazz
456.wav,classical
270.wav,hiphop
307.wav,metal
83.wav,country
6.wav,rock
408.wav,rock
491.wav,reggae
177.wav,reggae
425.wav,reggae
419.wav,classical
443.wav,metal
67.wav,hiphop
225.wav,pop
411.wav,jazz
130.wav,classical
172.wav,reggae
483.wav,reggae
60.wav,metal
179.wav,rock
339.wav,classical
24.wav,disco
329.wav,rock
466.wav,classical
112.wav,rock
164.wav,jazz
420.wav,country
336.wav,reggae
88.wav,classical
293.wav,metal
65.wav,disco
271.wav,jazz
97.wav,rock
53.wav,blues
71.wav,disco
126.wav,reggae
422.wav,hiphop
19.wav,pop
367.wav,hiphop
117.wav,hiphop
191.wav,pop
238.wav,classical
342.wav,disco
455.wav,reggae
110.wav,blues
319.wav,disco
227.wav,country
40.wav,hiphop
49.wav,disco
52.wav,reggae
161.wav,country
357.wav,rock
31.wav,metal
324.wav,hiphop
84.wav,reggae
119.wav,rock
368.wav,rock
108.wav,blues
316.wav,classical
246.wav,disco
330.wav,country
141.wav,pop
312.wav,blues
175.wav,rock
150.wav,rock
298.wav,classical
292.wav,country
37.wav,rock
447.wav,rock
160.wav,disco
158.wav,blues
423.wav,rock
384.wav,rock
223.wav,metal
32.wav,pop
